MJD;Magnitude;Error;Facility;Filter;Observer
59625.38571760012;18.89381668042704;0.292131415544368;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59625.38571760012;19.95906096335619;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59625.38715279009;20.060423134618926;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59625.38715279009;18.247302833848924;0.17174716102791915;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59626.38383101998;17.922848786263124;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59626.38383101998;17.924829994169883;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59626.38490738999;17.82763085606245;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59626.38490738999;17.823395850467872;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59626.3861921099;19.103063822159644;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59626.3861921099;19.108979673782212;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59626.3876157701;19.142600806410027;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59626.3876157701;17.944386171442858;0.23346932465958714;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59627.38116898993;17.98232017396997;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59627.38116898993;17.98180102523928;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59627.382256949786;18.09159586318402;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59627.382256949786;18.086120951635323;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59627.38355323998;19.10154216543213;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59627.38355323998;19.10519213805388;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59627.384988429956;17.925541905538314;0.2973273271969265;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59627.384988429956;19.097928220300876;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59628.38160880981;17.802631741570437;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59628.38160880981;16.944297050779245;0.2885206456780199;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59628.38270833995;16.55054242929697;0.19673531202111136;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59628.38270833995;17.869154524150293;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59628.38399305986;18.247566128080578;0.3098269705659297;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59628.38399305986;19.14556686658632;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59628.385428220034;19.266370490606988;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59628.385428220034;19.25928777559419;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59629.38251159014;17.833828455321253;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59629.38251159014;17.832588470630586;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59629.383599520195;17.82275419697632;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59629.383599520195;16.65443237030159;0.2271778823544641;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59629.38489582995;19.056960880204425;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59629.38489582995;19.073701139440388;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59629.38631943008;17.95120323082564;0.25560238599652957;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59629.38631943008;19.124113076201443;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59630.3822337701;18.014891226193228;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59630.3822337701;18.013186681003607;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59630.38332176022;16.683866811139026;0.25580153161984726;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59630.38332176022;18.140945393731982;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59630.384618040174;19.336870568595266;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59630.384618040174;19.33156739791545;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59630.38605323015;19.35863796666026;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59630.38605323015;17.984761416287576;0.1775707492127865;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59631.38295138022;17.884362525865097;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59631.38295138022;17.8852498537351;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59631.38403936988;17.970499401036843;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59631.38403936988;17.966266385482687;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59631.38532408979;18.334417897978938;0.22658374302766493;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59631.38532408979;19.340309871325964;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59631.38675924996;19.37038560313055;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59631.38675924996;19.368758502747234;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59632.256328;19.203;0.312;ATLAS;ATLAS(o);ATLAS
59632.383599520195;18.26778080986556;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59632.383599520195;18.272307139660793;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59632.38467594981;16.778996916568726;0.2582036780188135;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59632.38467594981;17.907744173511468;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59632.38597223023;19.532848916214068;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59632.38597223023;19.528382493847086;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59632.387395829894;19.57628421057909;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59632.387395829894;19.579508096086474;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59633.384270819835;17.915889175950586;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59633.384270819835;17.914372908829836;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59633.385347220115;18.068181479378367;-1.0;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59633.385347220115;16.409783216049817;0.13105988263460444;CPCS;I(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59633.386631940026;18.10705981326641;0.16381334612568932;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59633.386631940026;19.67215852708689;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
59633.38806713;19.49312044567207;-1.0;CPCS;V(GaiaSP);ROAD_FLI-KAF-16803, Przemek Mikolajczyk
